section,artist_id,artist_name,artist_name_eng,introduction,photo,instagram,twitter,youtube,song_id,song_title,singer,youtube_link,song_date,role,is_highlight,display_order,media_title,video_date,performance_id,performance_title,performance_date,category,directing_id,directing_title,directing_date,class_name,class_role,country,class_date,issuing_org,award_title,received_date
profile,kyma,키마,Kyma,"BEBE Crew Member, Street Woman Fighter 2 Winner.",,https://www.instagram.com/__kyma.__,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song001,MAVERICK,The Boyz,https://www.youtube.com/watch?v=HjibLr-vFko,2021-01-01,Draft Dancer,False,1.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song002,Picture,Hyoyeon,,2023-01-01,Collab,False,2.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song003,DROP TOP,Soojin,https://www.youtube.com/watch?v=kd3tx5KfFWs,2024-01-01,Draft Dancer,False,3.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song004,POWER,G-DRAGON,,2024-01-01,MV/Perf Dancer,False,4.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song005,Breaking News,PROJECT 7,,2024-01-01,Draft Dancer,False,5.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song006,Time After Time,PROJECT 7,,2024-01-01,Draft Dancer,False,6.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song007,Antidote,PROJECT 7,https://www.youtube.com/watch?v=uZj4FJ9dpd8,2024-01-01,Draft Dancer,False,7.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song008,ACT UP,PROJECT 7,https://www.youtube.com/watch?v=96kwU9YmTow,2024-01-01,Choreographer,True,8.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song009,Saturday Preacher,Cha Eun-woo,https://www.youtube.com/watch?v=uazc4b4RaE0,2024-01-01,Choreographer,False,9.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song010,TOO BAD,G-DRAGON,,2025-01-01,MV Dancer,False,10.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song011,Love you better,fromis_9,,2025-01-01,Draft Dancer,False,11.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song012,Free Style,YOUNG POSSE,,2025-01-01,Draft Dancer,False,12.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song013,Drift,aespa,,2025-01-01,Draft Dancer,False,13.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song014,Sunkiss,Wendy,https://www.youtube.com/watch?v=vS62NNsOD4A,2025-01-01,Music Show Dancer,False,14.0,,,,,,,,,,,,,,,,
choreography,kyma,,,,,,,,song015,Number One Rockstar,Dayoung,https://www.youtube.com/watch?v=bI3IJ31zIJo,2025-01-01,Perf/Show Dancer,False,15.0,,,,,,,,,,,,,,,,
media,kyma,,,,,,,,,,,,,,True,1.0,Street Woman Fighter 2,2023-08-22,,,,,,,,,,,,,,
media,kyma,,,,,,,,,,,,,,False,2.0,2023 MBC Gayo Daejejeon,2023-12-31,,,,,,,,,,,,,,
media,kyma,,,,,,,,,,,,,,False,3.0,The Seasons - Lee Hyo-ri's Red Carpet,2024-01-05,,,,,,,,,,,,,,
media,kyma,,,,,,,,,,,,,,False,4.0,Immortal Songs 2,2024-08-31,,,,,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf001,Street Woman Fighter 2 [ON THE STAGE] - Seoul,2023-12-01,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf002,Street Woman Fighter 2 [ON THE STAGE] - Busan,2023-12-09,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf003,Street Woman Fighter 2 [ON THE STAGE] - Daegu,2023-12-16,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf004,Street Woman Fighter 2 [ON THE STAGE] - Incheon,2023-12-23,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf005,Street Woman Fighter 2 [ON THE STAGE] - Suwon,2023-12-25,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf006,Street Woman Fighter 2 [ON THE STAGE] - Gwangju,2023-12-30,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf007,Waterbomb Singapore 2024,2024-08-25,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf008,Star Nest Music Festival,2024-09-07,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf009,K-Community Festival 2024,2024-11-02,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf010,Trend Wave 2025,2025-05-03,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf011,Waterbomb Seoul 2025,2025-07-06,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf012,K-MEGA CONCERT in Ulaanbaatar,2025-07-19,Concert/Tour,,,,,,,,,,
performance,kyma,,,,,,,,,,,,,,,,,,perf013,Waterbomb Singapore 2025,2025-08-30,Concert/Tour,,,,,,,,,,
workshop,kyma,,,,,,,,,,,,,,,,,,,,,,,,,JustJerk Academy Pop-Up Class,Instructor,Korea,2023-09-04,,,
award,kyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Street Woman Fighter 2 Winner (BEBE),2023-10-31
award,kyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 USA AWARDS,2024-04-05
award,kyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Universal Superstar Awards,2024-03-27
