section,artist_id,artist_name,artist_name_eng,introduction,photo,instagram,twitter,youtube,song_id,song_title,singer,youtube_link,song_date,role,is_highlight,display_order,media_title,video_date,performance_id,performance_title,performance_date,category,directing_id,directing_title,directing_date,class_name,class_role,country,class_date,issuing_org,award_title,received_date
profile,renan,레난,Renan,"1MILLION Dance Studio Choreographer & Performance Director. Known for work with aespa, XG, and NCT.",,https://www.instagram.com/renan0115,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song001,Tippy Toes,XG,,2022-01-01,Choreographer,True,1.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song002,THE GIRLS (Can't turn me down),Kep1er,,2022-01-01,Choreographer,False,2.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song003,MASCARA,XG,,2022-01-01,Choreographer,False,3.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song004,KISS,TRI.BE,,2022-01-01,Choreographer,False,4.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song005,Birthday,Red Velvet,,2022-01-01,Choreographer,False,5.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song006,Drowning (feat. SOLE),BOBBY,,2023-01-01,Choreographer,False,6.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song007,LVLY,Kep1er,,2023-01-01,Choreographer,False,7.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song008,GRL GVNG,XG,,2023-01-01,Choreographer,True,8.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song009,idc,COLLAR,,2023-01-01,Choreographer,False,9.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song010,Chill Kill,Red Velvet,https://www.youtube.com/watch?v=4WYC2DXbw2U,2023-01-01,Choreographer,False,10.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song011,LIT,STAYC,,2023-01-01,Choreographer,False,11.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song012,Be There For Me,NCT 127,,2023-01-01,Choreographer,False,12.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song013,Nightwalker,Ten,,2024-01-01,Choreographer,False,13.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song014,Magnetic,ILLIT,,2024-01-01,Choreographer,True,14.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song015,Paranoid,Rikimaru,,2024-01-01,Choreographer,False,15.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song016,Broke My Heart,Kino,,2024-01-01,Choreographer,False,16.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song017,Armageddon,aespa,,2024-01-01,Choreographer,True,17.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song018,Cheeky Icy Thang,STAYC,,2024-01-01,Choreographer,False,18.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song019,Whiplash,aespa,,2024-01-01,Choreographer,True,19.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song020,ATE THAT,YOUNG POSSE,https://www.youtube.com/watch?v=oYlxQzTU2jA,2024-01-01,Choreographer,False,20.0,,,,,,,,,,,,,,,,
choreography,renan,,,,,,,,song021,UP (Karina Solo),aespa,,2024-01-01,Choreographer,True,21.0,,,,,,,,,,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir001,"XG ""SHOOTING STAR"" Directing",2023-01-25,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir002,"XG ""HESONOO"" Directing",2023-08-04,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir003,"STAYC ""LIT"" Directing",2023-12-06,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir004,"aespa ""SYNK : PARALLEL LINE"" Performance Directing",2024-06-29,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir005,"Rikimaru ""Paranoid"" Directing",2024-01-01,,,,,,,
directing,renan,,,,,,,,,,,,,,,,,,,,,,dir006,"Kino ""Broke My Heart"" Directing",2024-01-01,,,,,,,
workshop,renan,,,,,,,,,,,,,,,,,,,,,,,,,1MILLION Dance Studio,Choreographer / Instructor,Korea,2021-01-01,,,
workshop,renan,,,,,,,,,,,,,,,,,,,,,,,,,Renan Special Workshop (Lesson 1),Instructor,Korea,2023-01-13,,,
workshop,renan,,,,,,,,,,,,,,,,,,,,,,,,,JustJerk Academy Special Workshop,Instructor,Korea,2024-01-01,,,
award,renan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024 Choreo Awards - Choreography of the Year (aespa ""Armageddon"")",2024-12-28
