section,artist_id,artist_name,artist_name_eng,introduction,photo,instagram,twitter,youtube,song_id,song_title,singer,youtube_link,song_date,role,is_highlight,display_order,media_title,video_date,performance_id,performance_title,performance_date,category,directing_id,directing_title,directing_date,class_name,class_role,country,class_date,issuing_org,award_title,received_date
profile,wootae,우태,Wootae,"Mbitious Member, Choreographer, Professor. Known for Street Man Fighter.",,https://instagram.com/wootae_______,,https://youtube.com/user/wootae0723,,,,,,,,1.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song001,내가 돌아 (NEGA DOLA),BoA,,2018-01-01,Choreographer,False,1.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song002,나나나 (Na Na Na),IMFACT,https://www.youtube.com/watch?v=NRAOHRMfuSQ,2018-01-01,Choreographer,False,2.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song003,Heads Up,Super Junior,,2019-01-01,Choreographer,False,3.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song004,Don't Close Your Eyes (D.C.Y.E),Lee Gikwang,,2019-01-01,Choreographer,False,4.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song005,B.A.D,Super Junior D&E,,2020-01-01,Choreographer,False,5.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song006,Candy,Baekhyun,,2020-01-01,Choreographer,True,6.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song007,불어온다 (Not The End),Highlight,,2021-01-01,Choreographer,False,7.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song008,미안 (Sorry),Highlight,,2021-01-01,Choreographer,False,8.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song009,Disconnected,Highlight,,2021-01-01,Choreographer,False,9.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song010,Vanilla,Kai,,2021-01-01,Choreographer,False,10.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song011,California Love,Donghae,,2021-01-01,Choreographer,False,11.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song012,BRAIN,Yang Yoseob,,2021-01-01,Choreographer,False,12.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song013,WINNER (feat. ASH ISLAND),Ravi,,2022-01-01,Choreographer,False,13.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song014,Virus,VICTON,,2022-01-01,Choreographer,False,14.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song015,Eyes On You,Kangta,,2022-01-01,Choreographer,False,15.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song016,LAW (Prod. Czaer),"Yoon Mirae, BIBI",https://www.youtube.com/watch?v=SiHo2Cf_3go,2022-01-01,Choreographer,True,16.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song017,FAVORITE,Kanto,,2022-01-01,Choreographer,False,17.0,,,,,,,,,,,,,,,,
choreography,wootae,,,,,,,,song018,Champagne Poppin',Kang Yuchan,,2025-01-01,Choreographer,False,18.0,,,,,,,,,,,,,,,,
media,wootae,,,,,,,,,,,https://www.youtube.com/watch?v=SiHo2Cf_3go,,,True,1.0,Street Man Fighter,2022-08-23,,,,,,,,,,,,,,
media,wootae,,,,,,,,,,,,,,True,2.0,Be Mbitious,2022-05-24,,,,,,,,,,,,,,
media,wootae,,,,,,,,,,,,,,False,3.0,Captain,2020-11-19,,,,,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf001,Street Man Fighter [ON THE STAGE] - Gangneung,2022-11-12,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf002,Street Man Fighter [ON THE STAGE] - Daejeon,2022-11-19,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf003,Street Man Fighter [ON THE STAGE] - Daegu,2022-11-26,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf004,Street Man Fighter [ON THE STAGE] - Gwangju,2022-12-03,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf005,Street Man Fighter [ON THE STAGE] - Busan,2022-12-10,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf006,Street Man Fighter [ON THE STAGE] - Changwon,2022-12-17,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf007,Street Man Fighter [ON THE STAGE] - Incheon,2022-12-24,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf008,Street Man Fighter [ON THE STAGE] - Suwon,2022-12-31,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf009,Street Man Fighter [ON THE STAGE] - Seoul,2023-01-07,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf010,Woori Bank WON THE STAGE,2023-03-04,Concert/Tour,,,,,,,,,,
performance,wootae,,,,,,,,,,,,,,,,,,perf011,KCON 2023 THAILAND,2023-03-18,Concert/Tour,,,,,,,,,,
directing,wootae,,,,,,,,,,,,,,,,,,,,,,dir001,SMF Class Mission Main Dancer Directing (LAW),2022-09-06,,,,,,,
directing,wootae,,,,,,,,,,,,,,,,,,,,,,dir002,Movie 'Victory' Choreography Director,2024-08-14,,,,,,,
class,wootae,,,,,,,,,,,,,,,,,,,,,,,,,Kookmin University School of Continuing Education Practical Dance,Professor,Korea,2016-01-01,,,
award,wootae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be Mbitious Final Member (3rd Place),2022-07-05
award,wootae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMF Class Mission Main Dancer (Sub-leader),2022-09-06
