section,artist_id,artist_name,artist_name_eng,introduction,photo,instagram,twitter,youtube,song_id,song_title,singer,youtube_link,song_date,role,is_highlight,display_order,media_title,video_date,performance_id,performance_title,performance_date,category,directing_id,directing_title,directing_date,class_name,class_role,country,class_date,issuing_org,award_title,received_date
profile,artist_yumeki,유메키,Yumeki Takenaka,"Japanese dancer, choreographer, and dance trainer. Jam Republic agency. Former 1MILLION instructor. 'Street Man Fighter' & 'Boys Planet 2' contestant.",,https://www.instagram.com/yumekitakenaka_,https://twitter.com/official_YUMEKI,https://www.youtube.com/@yumekitakenaka,,,,,,,,,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_001,WANNABE,ITZY,https://www.youtube.com/watch?v=w6C2t8o_tPs,2020-03-09,Co-Choreography (with Lia Kim),TRUE,1,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_002,MORE,K/DA,https://www.youtube.com/watch?v=Uvy_o058T40,2020-10-28,Co-Choreography (with Lee Saet-byeol),TRUE,2,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_003,Naranhi (나란히),Sweet Home X BewhY,https://www.youtube.com/watch?v=CVWpXFPw3rI,2020-12-25,Co-Choreography (with Lee Yu-jeong),FALSE,3,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_004,Heart Attack,SHINee,,2021-04-12,Choreographer,FALSE,4,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_005,I Really Want You,SHINee,,2021-04-12,Choreographer,FALSE,5,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_006,Ponzona,PURPLE KISS,https://www.youtube.com/watch?v=cqoR2PxdOEA,2021-03-15,Choreographer,FALSE,6,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_007,Black Mirror,ONEUS,https://www.youtube.com/watch?v=JlnUTiJdvS4,2021-05-11,Co-Choreography (with Youngbin),FALSE,7,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_008,ZOMBIE,PURPLE KISS,https://www.youtube.com/watch?v=2ffecME67Lk,2021-09-08,Co-Choreography (with Root),FALSE,8,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_009,Addicted,Baekhyun,https://www.youtube.com/watch?v=vGpPuHJvWcI,2021-03-30,Choreographer,FALSE,9,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_010,MAVERICK,The Boyz,https://www.youtube.com/watch?v=HjibLr-vFko,2021-11-01,"Co-Choreography (with Mihawk Back, Nino, etc.)",TRUE,10,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_011,Peaches (Prologue Film),Kai,https://www.youtube.com/watch?v=YQoO3concnE,2021-11-20,Choreographer,FALSE,11,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_012,Goosebumps,ONF,https://www.youtube.com/watch?v=KSduzBPkfqg,2021-12-03,Co-Choreography (with Kasper),FALSE,12,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_013,Awake (醒·Lithops),Yao Chen,,2022-07-08,Choreographer,FALSE,13,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_014,Bring It On (덤벼),ONEUS,https://www.youtube.com/watch?v=mKDABmBzeOo,2022-05-17,Co-Choreography (with Root),FALSE,14,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_015,ERASE ME,ONEUS,,2023-05-08,"Co-Choreography (with Mihawk Back, Root)",FALSE,15,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_016,New Heroes,TEN,,2023-08-01,Choreographer (SuperM Tour Ver.),FALSE,16,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_017,Shalala,Killa,,2023-06-01,Choreographer,FALSE,17,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_018,LEAP HIGH! (Theme Song),PRODUCE 101 JAPAN THE GIRLS,,2023-09-02,Choreographer,FALSE,18,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_019,AtoZ,PRODUCE 101 JAPAN THE GIRLS,,2023-12-16,Choreographer,FALSE,19,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_020,Popcorn,PRODUCE 101 JAPAN THE GIRLS,,2023-12-16,Choreographer,FALSE,20,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_021,Fact Check (불가사의),NCT 127,https://www.youtube.com/watch?v=vGuJuW0bDWA,2023-10-06,Choreography Participation,TRUE,21,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_022,Oh Mymy : 7s,TWS,https://www.youtube.com/watch?v=iLNW-p67eLs,2024-01-02,Choreographer,FALSE,22,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_023,Waterfall,MAZZEL,,2024-03-20,Choreographer,FALSE,23,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_024,Click,ME:I,https://www.youtube.com/watch?v=G-LdNMa99oQ,2024-03-27,Choreographer & Performance Director,TRUE,24,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_025,Song Bird,NCT WISH,,2024-06-24,Choreographer,FALSE,25,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_026,Brought The Heat Back,ENHYPEN,https://www.youtube.com/watch?v=AF3LhWGrXII,2024-07-12,Choreography Participation,TRUE,26,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_027,Hi-Five,ME:I,,2024-08-28,Choreographer,FALSE,27,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_028,dummy,ARrC,,2024-07-26,Choreographer,FALSE,28,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_029,S&S (sour and sweet),ARrC,,2024-07-26,Choreographer,FALSE,29,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_030,TIPI-TAP,Kep1er,https://www.youtube.com/watch?v=S0neaNk9ybQ,2024-11-01,Choreographer,TRUE,30,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_031,THAT'S ME,ODD YOUTH,,2024-11-01,Choreographer,FALSE,31,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_032,Last Festival (마지막 축제),TWS,,2024-11-25,Choreographer,FALSE,32,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_033,NOW OR NEVER,ZEROBASEONE,,2024-11-01,Choreographer,FALSE,33,,,,,,,,,,,,,,,,
